ts,cs,lat,long,o,v,a,hr,pl,mp,sl,x,y
2024-10-23 15:52:38,52.0,37.35017046,-121.93595454999999,35.69,0.005,-0.091,0.0,2.555,0.03,0.08399999999999999,9554498.816,1746660.1809999999
2024-10-23 15:52:39,52.0,37.35016992,-121.93595366,35.833,0.101,0.088,0.0,2.582,0.479,0.10200000000000001,9554498.782,1746660.242
2024-10-23 15:52:40,52.0,37.35017018,-121.93595219000001,36.02,0.201,0.126,0.0,2.6,0.842,0.051000000000000004,9554498.649,1746660.212
2024-10-23 15:52:41,52.0,37.35017024,-121.93595187999999,36.037,0.02,-0.20600000000000002,0.0,2.614,0.099,0.08,9554498.621,1746660.2030000002
2024-10-23 15:52:42,52.0,37.350172459999996,-121.93594934000001,36.458999999999996,0.31,0.273,0.0,2.643,1.7399999999999998,0.16499999999999998,9554498.262,1746659.948
2024-10-23 15:52:43,52.0,37.35017534,-121.93594728000001,36.926,0.466,0.20800000000000002,0.0,2.686,1.7760000000000002,0.12,9554497.894,1746659.625
2024-10-23 15:52:44,52.0,37.35017428,-121.93594321999998,37.357,0.305,-0.246,0.0,2.712,2.0490000000000004,0.155,9554497.65,1746659.736
2024-10-23 15:52:45,52.0,37.350169890000004,-121.93592822000001,38.802,1.313,1.061,0.0,2.8169999999999997,8.981,0.8109999999999999,9554496.783,1746660.211
2024-10-23 15:52:46,52.0,37.3501647,-121.93591117999999,40.443,1.666,0.392,0.0,3.059,7.131,0.913,9554495.809999999,1746660.77
2024-10-23 15:52:47,52.0,37.35015707,-121.93589582,42.157,1.638,-0.073,0.0,3.286,7.56,1.002,9554495.147,1746661.607
2024-10-23 15:52:48,52.0,37.350140090000004,-121.93589027,44.183,1.841,0.203,0.0,3.558,9.342,1.1380000000000001,9554495.922,1746663.509
2024-10-23 15:52:49,52.0,37.35012405,-121.9358941,46.062,1.888,0.084,0.0,3.849,7.047,1.106,9554497.370000001,1746665.3199999998
2024-10-23 15:52:50,52.0,37.35011416,-121.93590492000001,47.591,1.549,-0.372,0.0,4.088,6.044,0.9710000000000001,9554498.93,1746666.447
2024-10-23 15:52:51,52.0,37.35010655,-121.93592013,49.206,1.542,-0.015999999999999997,0.0,4.353,7.476000000000001,0.994,9554500.671,1746667.322
2024-10-23 15:52:52,52.0,37.35009867,-121.93593633999998,50.904,1.709,0.197,0.0,4.571,7.423,0.8470000000000001,9554502.511,1746668.231
2024-10-23 15:52:53,52.0,37.35009308,-121.93595163,52.423,1.541,-0.191,0.0,4.798,6.473000000000001,1.004,9554504.113,1746668.879
